Element,Atomic_Number,Line,Energy_keV,Relative_Intensity
Tl,81,Lα2,10.1727,10
Tl,81,Lβ1,12.2133,75
Pb,82,Kα1,74.9694,100
Pb,82,Kα2,72.8042,50
Pb,82,Kβ1,84.9360,160
Pb,82,Lα1,10.5515,100
Pb,82,Lα2,10.4495,10
Pb,82,Lβ1,12.6137,75
Bi,83,Kα1,77.1079,100
Bi,83,Kα2,74.8148,50
Bi,83,Kβ1,87.3430,162
Bi,83,Lα1,10.8388,100
Bi,83,Lα2,10.7308,10
Bi,83,Lβ1,13.0235,75
Po,84,Kα1,79.2900,100
Po,84,Kα2,76.8620,50
Po,84,Kβ1,89.8000,164
Po,84,Lα1,11.1308,100
Po,84,Lα2,11.0158,10
Po,84,Lβ1,13.4407,75
At,85,Kα1,81.5170,100
At,85,Kα2,78.9500,50
At,85,Kβ1,92.3000,166
At,85,Lα1,11.4268,100
At,85,Lα2,11.3048,10
At,85,Lβ1,13.8760,75
Rn,86,Kα1,83.7800,100
Rn,86,Kα2,81.0700,50
Rn,86,Kβ1,94.8700,168
Rn,86,Lα1,11.7270,100
Rn,86,Lα2,11.5977,10
Rn,86,Lβ1,14.3160,75
Fr,87,Kα1,86.1050,100
Fr,87,Kα2,83.2300,50
Fr,87,Kβ1,97.4700,170
Fr,87,Lα1,12.0310,100
Fr,87,Lα2,11.8948,10
Fr,87,Lβ1,14.7700,75
Ra,88,Kα1,88.4710,100
Ra,88,Kα2,85.4300,50
Ra,88,Kβ1,100.1300,172
Ra,88,Lα1,12.3390,100
Ra,88,Lα2,12.1960,10
Ra,88,Lβ1,15.2357,75
Ac,89,Kα1,90.8840,100
Ac,89,Kα2,87.6700,50
Ac,89,Kβ1,102.8500,174
Ac,89,Lα1,12.6520,100
Ac,89,Lα2,12.5008,10
Ac,89,Lβ1,15.7130,75
Th,90,Kα1,93.3500,100
Th,90,Kα2,89.9530,50
Th,90,Kβ1,105.6090,176
Th,90,Lα1,12.9687,100
Th,90,Lα2,12.8096,10
Th,90,Lβ1,16.2023,75
Pa,91,Kα1,95.8680,100
Pa,91,Kα2,92.2870,50
Pa,91,Kβ1,108.4270,178
Pa,91,Lα1,13.2907,100
Pa,91,Lα2,13.1220,10
Pa,91,Lβ1,16.7020,75
U,92,Kα1,98.4390,100
U,92,Kα2,94.6650,50
U,92,Kβ1,111.3000,180
U,92,Lα1,13.6147,100
U,92,Lα2,13.4387,10
U,92,Lβ1,17.2200,75
U,92,Lβ2,17.4550,45
U,92,Lγ1,20.1671,25
U,92,Mα1,3.1708,100
U,92,Mα2,3.1590,50
U,92,Mβ,3.3371,30
